ID,SessionID,StartTime,EndTime,Duration
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745682,37
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745719,37482
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745697,15367
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745697,1697745719,22073
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745743,1697745743,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745743,1697745803,60557
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745745,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745779,33741
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745756,11518
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745756,1697745779,22174
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745803,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745869,65665
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745806,3
